,Ethnicity,Gender,Age,Relationship Status,Industry,Education,Cost of Living,Annual Expenses,Annual Income
0,White,Male,46-50,relationship,Professional & Business Services,Bachelor's Degree,61-70,45000,75000
4,White,Female,41-45,single,Public Administration (Civilian Government),Specialist Degree,71-80,140000,180000
6,White,Female,21-25,relationship,Transportation,Bachelor's Degree,71-80,256000,256000
10,White,Male,21-25,relationship,Information Technology (incl. software engineering),Bachelor's Degree,71-80,410000,410000
11,White,Male,31-35,relationship,Engineering (NOT software),Master's Degree,61-70,105000,230000
12,White,Male,41-45,relationship,"Agriculture, Forestry, Fishing",Master's Degree,121-130,252000,405000
14,White,Male,26-30,relationship,Energy,Master's Degree,91-100,265000,280000
17,White,Male,31-35,relationship,Information Technology (incl. software engineering),Bachelor's Degree,91-100,140000,415000
19,Asian,Female,31-35,single,Public Administration (Civilian Government),Master's Degree,81-90,155925,169698
21,White,Female,31-35,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,97000,151780
25,White,Male,41-45,relationship,Financial Services,Bachelor's Degree,71-80,210900,228000
26,White,Male,36-40,relationship,Professional & Business Services,Specialist Degree,61-70,94000,193000
27,White,Male,31-35,relationship,Healthcare,Doctorate Degree,71-80,173879,178126
28,American Indian,Male,56-60,relationship,Manufacturing,Doctorate Degree,51-60,80000,243000
29,White,Male,31-35,relationship,Manufacturing,Bachelor's Degree,91-100,267100,314000
30,White,Female,41-45,single,Engineering (NOT software),Associate's Degree,61-70,138616,138616
33,White,Male,31-35,relationship,Information Technology (incl. software engineering),Doctorate Degree,71-80,80000,330000
34,White,Male,31-35,relationship,Other Services,Master's Degree,81-90,264000,272000
37,White,Male,36-40,relationship,Professional & Business Services,Master's Degree,81-90,70000,147000
38,White,Male,26-30,single,Public Administration (Civilian Government),Bachelor's Degree,81-90,103000,137000
39,White,Male,31-35,relationship,Retail,Master's Degree,61-70,288800,288000
40,Asian,Male,26-30,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,285000,285000
43,Black or African American,Male,31-35,single,Healthcare,Doctorate Degree,81-90,217050,217050
45,White,Female,36-40,relationship,"Arts, Entertainment, Recreation",Doctorate Degree,61-70,135000,135000
46,White,Female,36-40,single,Engineering (NOT software),Bachelor's Degree,61-70,110720,110720
48,White,Male,21-25,relationship,Financial Services,Bachelor's Degree,71-80,179500,180800
49,White,Male,46-50,relationship,Information Technology (incl. software engineering),Bachelor's Degree,51-60,260000,260000
51,Hispanic or Latino,Male,46-50,relationship,Media,Master's Degree,31-40,70900,83000
53,White,Male,31-35,relationship,Healthcare,Doctorate Degree,51-60,250000,250000
54,"White,Asian",Female,36-40,relationship,Other Services,Doctorate Degree,91-100,194000,250000
55,White,Male,21-25,single,Information Technology (incl. software engineering),Master's Degree,71-80,36000,88000
57,"Pacific Islander,Asian,Southeast Asian",Male,31-35,relationship,Healthcare,Doctorate Degree,71-80,310000,662600
58,White,Male,36-40,relationship,Public Administration (Civilian Government),Master's Degree,81-90,175237,175237
59,White,Male,31-35,relationship,Media,Bachelor's Degree,91-100,199420,205520
61,Black or African American,Female,26-30,relationship,Healthcare,Bachelor's Degree,71-80,200000,200000
62,White,Male,26-30,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,330000,330000
67,White,Male,36-40,relationship,Professional & Business Services,Doctorate Degree,61-70,20800,35000
69,White,Female,51-55,single,Public Administration (Civilian Government),Bachelor's Degree,71-80,226606,226606
72,White,Male,31-35,relationship,Healthcare,Master's Degree,61-70,241500,241500
73,White,Male,31-35,relationship,Military,Bachelor's Degree,41-50,80000,114392
74,White,Male,31-35,relationship,Manufacturing,Bachelor's Degree,61-70,116700,125000
76,White,Male,31-35,relationship,Financial Services,Master's Degree,71-80,300532,300000
77,White,Male,31-35,relationship,Information Technology (incl. software engineering),Some high school,71-80,112500,118854
78,White,Male,31-35,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,5500,265000
82,Asian,Female,26-30,single,Information Technology (incl. software engineering),Bachelor's Degree,91-100,179900,180000
84,White,Male,26-30,relationship,Manufacturing,Bachelor's Degree,71-80,74500,7625
85,White,Male,26-30,single,Information Technology (incl. software engineering),Bachelor's Degree,61-70,127000,90560
86,White,Male,31-35,single,Information Technology (incl. software engineering),Bachelor's Degree,91-100,390398,390398
91,White,Male,31-35,relationship,Retail,Bachelor's Degree,71-80,180200,400000
93,White,Male,41-45,relationship,Information Technology (incl. software engineering),Bachelor's Degree,71-80,324370,361909
94,Decline to state,Non-binary,41-45,relationship,Natural Resources,Doctorate Degree,91-100,160000,378000
96,Asian,Female,31-35,relationship,Healthcare,Doctorate Degree,71-80,298518,488101
98,White,Male,31-35,relationship,Financial Services,Master's Degree,71-80,126000,262000
99,White,Male,31-35,relationship,Financial Services,Master's Degree,61-70,159650,193000
100,White,Male,26-30,single,Education,Master's Degree,61-70,55000,57750
103,White,Female,26-30,relationship,Professional & Business Services,Bachelor's Degree,71-80,199724,212500
105,Decline to state,Male,31-35,relationship,Information Technology (incl. software engineering),Master's Degree,71-80,438700,438700
107,White,Male,36-40,relationship,Information Technology (incl. software engineering),Master's Degree,71-80,65000,293000
108,White,Male,21-25,single,Distribution / Logistics,Bachelor's Degree,61-70,56584,57675
110,White,Male,36-40,single,Information Technology (incl. software engineering),Bachelor's Degree,71-80,97000,97000
111,"White,Asian,Southeast Asian",Female,31-35,relationship,Healthcare,Bachelor's Degree,91-100,136200,233000
113,Black or African American,Female,21-25,relationship,Financial Services,Bachelor's Degree,71-80,81000,81000
115,White,Male,26-30,single,Engineering (NOT software),Bachelor's Degree,61-70,79000,79000
116,"White,Southeast Asian",Male,31-35,single,Information Technology (incl. software engineering),Bachelor's Degree,71-80,53000,268450
117,White,Male,36-40,relationship,Healthcare,Doctorate Degree,61-70,275000,723686
118,Asian,Male,51-55,relationship,Information Technology (incl. software engineering),Master's Degree,61-70,3950,7000
120,Asian,Male,36-40,single,Professional & Business Services,Master's Degree,71-80,16000,369000
121,White,Male,31-35,single,Information Technology (incl. software engineering),Bachelor's Degree,51-60,45800,45800
123,White,Male,26-30,single,Financial Services,Bachelor's Degree,91-100,75000,360500
127,"White,Hispanic or Latino",Male,41-45,relationship,Financial Services,Master's Degree,81-90,817000,817000
129,Asian,Female,21-25,single,Information Technology (incl. software engineering),Bachelor's Degree,91-100,70000,300000
130,"White,Southeast Asian",Male,31-35,single,Transportation,Bachelor's Degree,81-90,141000,141000
133,Southeast Asian,Male,31-35,relationship,Information Technology (incl. software engineering),Master's Degree,81-90,62700,180000
134,"White,Asian",Male,31-35,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,270000,270000
